,Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP.1,PTS.1,TRB.1,AST.1,WS,WS/48,BPM,VORP,Year
51,50,50,BOS,Darius Songaila,Wake Forest,8,495,9229,3415,1689,589,.499,.158,.844,18.6,6.9,3.4,1.2,15.9,.083,-2.1,-0.2,2002
52,51,51,POR,Federico Kammerichs,,,,,,,,,,,,,,,,,,,2002
53,52,52,MIN,Marcus Taylor,Michigan State,,,,,,,,,,,,,,,,,,2002
54,53,53,MIA,Rasual Butler,La Salle,13,809,17219,6092,1934,658,.403,.362,.747,21.3,7.5,2.4,0.8,20.8,.058,-1.4,2.6,2002
55,54,54,NJN,Tamar Slay,Marshall,3,66,517,173,70,31,.361,.265,.538,7.8,2.6,1.1,0.5,-0.3,-.029,-5.7,-0.5,2002
56,55,55,DAL,Mladen Sekularac,,,,,,,,,,,,,,,,,,,2002
57,56,56,SAS,Luis Scola,,10,743,19001,8882,4941,1194,.493,.339,.740,25.6,12.0,6.7,1.6,45.7,.115,-0.7,6.4,2002
58,57,57,SAS,Randy Holcomb,San Diego State,1,4,11,2,1,0,1.000,,,2.8,0.5,0.3,0.0,0.0,.150,-1.7,0.0,2002
59,58,58,SAC,Corsley Edwards,Central Connecticut State University,1,10,110,27,25,3,.323,,.583,11.0,2.7,2.5,0.3,0.1,.026,-6.2,-0.1,2002
0,1,1,CLE,LeBron James,,20,1421,54093,38652,10667,10420,.505,.345,.735,38.1,27.2,7.5,7.3,255.1,.226,8.8,146.6,2003
1,2,2,DET,Darko Miličić,,10,468,8638,2813,1971,405,.460,.000,.574,18.5,6.0,4.2,0.9,7.1,.040,-2.4,-0.9,2003
2,3,3,DEN,Carmelo Anthony,Syracuse,19,1260,43514,28289,7808,3422,.447,.355,.814,34.5,22.5,6.2,2.7,108.5,.120,1.3,36.7,2003
3,4,4,TOR,Chris Bosh,Georgia Tech,13,893,31936,17189,7592,1795,.494,.335,.799,35.8,19.2,8.5,2.0,106.0,.159,1.9,31.1,2003
4,5,5,MIA,Dwyane Wade,Marquette,16,1054,35773,23165,4933,5701,.480,.293,.765,33.9,22.0,4.7,5.4,120.7,.162,5.0,62.8,2003
5,6,6,LAC,Chris Kaman,Central Michigan University,13,735,19642,8208,5582,921,.489,.042,.743,26.7,11.2,7.6,1.3,24.6,.060,-1.9,0.4,2003
6,7,7,CHI,Kirk Hinrich,Kansas,13,879,27015,9594,2576,4245,.411,.375,.800,30.7,10.9,2.9,4.8,52.5,.093,0.0,13.3,2003
7,8,8,MIL,T.J. Ford,Texas,8,429,11882,4797,1331,2495,.433,.289,.815,27.7,11.2,3.1,5.8,16.9,.068,-0.4,4.6,2003
8,9,9,NYK,Mike Sweetney,Georgetown,4,233,3610,1516,1045,145,.485,.000,.689,15.5,6.5,4.5,0.6,7.8,.103,-2.7,-0.6,2003
9,10,10,WAS,Jarvis Hayes,Georgia,7,427,9898,3553,1330,459,.415,.356,.798,23.2,8.3,3.1,1.1,10.2,.049,-2.5,-1.3,2003
10,11,11,GSW,Mickaël Piétrus,,10,557,11950,4629,1723,445,.425,.355,.665,21.5,8.3,3.1,0.8,19.7,.079,-0.9,3.2,2003
11,12,12,SEA,Nick Collison,Kansas,14,910,18603,5359,4701,939,.534,.208,.723,20.4,5.9,5.2,1.0,44.5,.115,-1.3,3.1,2003
12,13,13,MEM,Marcus Banks,UNLV,8,348,5571,2061,519,728,.432,.327,.768,16.0,5.9,1.5,2.1,6.6,.057,-2.0,-0.1,2003
13,14,14,SEA,Luke Ridnour,Oregon,12,830,21623,7740,1877,3713,.431,.349,.862,26.1,9.3,2.3,4.5,36.0,.080,-0.6,7.5,2003
14,15,15,ORL,Reece Gaines,Louisville,3,71,605,123,53,50,.324,.269,.606,8.5,1.7,0.7,0.7,-0.6,-.049,-6.1,-0.6,2003
15,16,16,BOS,Troy Bell,Boston College,1,6,34,11,4,4,.222,.000,1.000,5.7,1.8,0.7,0.7,-0.2,-.326,-19.6,-0.2,2003
16,17,17,PHO,Žarko Čabarkapa,,3,150,1550,640,312,85,.427,.273,.733,10.3,4.3,2.1,0.6,1.1,.035,-3.9,-0.7,2003
17,18,18,NOH,David West,Xavier,15,1034,29144,14034,6590,2273,.495,.265,.817,28.2,13.6,6.4,2.2,85.9,.141,1.7,27.6,2003
18,19,19,UTA,Sasha Pavlović,,10,567,8888,2787,1000,517,.404,.346,.673,15.7,4.9,1.8,0.9,7.0,.038,-3.4,-3.1,2003
19,20,20,BOS,Dahntay Jones,Duke,13,624,9799,3353,1082,529,.439,.329,.751,15.7,5.4,1.7,0.8,9.9,.048,-3.7,-4.1,2003
20,21,21,ATL,Boris Diaw,,14,1064,28768,9139,4634,3684,.493,.336,.717,27.0,8.6,4.4,3.5,51.6,.086,0.1,15.5,2003
21,22,22,NJN,Zoran Planinić,,3,148,1584,561,198,165,.405,.289,.677,10.7,3.8,1.3,1.1,1.5,.046,-3.5,-0.6,2003
22,23,23,POR,Travis Outlaw,,11,622,13026,5273,1974,514,.423,.337,.744,20.9,8.5,3.2,0.8,16.5,.061,-1.4,2.1,2003
23,24,24,LAL,Brian Cook,Illinois,9,421,5649,2312,1115,252,.439,.382,.783,13.4,5.5,2.6,0.6,10.2,.086,-1.6,0.5,2003
24,25,25,DET,Carlos Delfino,,8,507,11580,4115,1815,887,.401,.365,.758,22.8,8.1,3.6,1.7,22.5,.093,0.5,7.2,2003
25,26,26,MIN,Ndudi Ebi,,2,19,86,40,19,4,.486,.000,.462,4.5,2.1,1.0,0.2,0.1,.051,-3.8,0.0,2003
26,27,27,MEM,Kendrick Perkins,,14,782,17162,4214,4532,813,.530,.000,.594,21.9,5.4,5.8,1.0,27.9,.078,-1.9,0.6,2003
27,28,28,SAS,Leandro Barbosa,,14,850,18386,9035,1720,1775,.459,.387,.821,21.6,10.6,2.0,2.1,37.4,.098,-0.2,8.6,2003
28,29,29,DAL,Josh Howard,Wake Forest,10,507,15350,7270,2886,817,.448,.332,.770,30.3,14.3,5.7,1.6,38.0,.119,0.6,10.0,2003
29,,,,Round 2,Round 2,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced,2003
30,Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP,2003
31,30,30,NYK,Maciej Lampe,,3,64,632,215,142,22,.407,.250,.676,9.9,3.4,2.2,0.3,-0.2,-.014,-7.0,-0.8,2003
32,31,31,CLE,Jason Kapono,UCLA,9,509,9068,3398,844,417,.442,.434,.835,17.8,6.7,1.7,0.8,10.3,.055,-2.6,-1.3,2003
33,32,32,LAL,Luke Walton,Arizona,10,564,9685,2649,1588,1317,.429,.326,.715,17.2,4.7,2.8,2.3,13.5,.067,-1.0,2.5,2003
34,33,33,MIA,Jerome Beasley,University of North Dakota,1,2,5,2,1,0,.333,,,2.5,1.0,0.5,0.0,0.0,-.117,-5.2,0.0,2003
35,34,34,LAC,Sofoklis Schortsanitis,,,,,,,,,,,,,,,,,,,2003
36,35,35,MIL,Szymon Szewczyk,,,,,,,,,,,,,,,,,,,2003
37,36,36,CHI,Mario Austin,Mississippi State,,,,,,,,,,,,,,,,,,2003
38,37,37,ATL,Travis Hansen,BYU,1,41,507,123,70,19,.354,.300,.815,12.4,3.0,1.7,0.5,0.2,.019,-6.2,-0.5,2003
39,38,38,WAS,Steve Blake,Maryland,13,870,20823,5662,1816,3446,.401,.383,.779,23.9,6.5,2.1,4.0,29.1,.067,-1.2,4.2,2003
40,39,39,NYK,Slavko Vraneš,,1,1,3,0,0,0,.000,,,3.0,0.0,0.0,0.0,0.0,-.371,-26.2,0.0,2003
41,40,40,GSW,Derrick Zimmerman,Mississippi State,1,2,32,4,4,7,.667,,,16.0,2.0,2.0,3.5,0.0,.004,-10.4,-0.1,2003
42,41,41,SEA,Willie Green,Detroit Mercy,12,731,14783,6059,1303,1018,.425,.346,.765,20.2,8.3,1.8,1.4,12.9,.042,-2.7,-2.7,2003
43,42,42,ORL,Zaza Pachulia,,16,1098,22240,7414,6315,1433,.469,.000,.751,20.3,6.8,5.8,1.3,52.7,.114,-1.5,2.9,2003
44,43,43,MIL,Keith Bogans,Kentucky,11,671,14527,4257,1817,866,.394,.353,.716,21.6,6.3,2.7,1.3,20.4,.068,-1.5,1.9,2003
45,44,44,HOU,Malick Badiane,,,,,,,,,,,,,,,,,,,2003
46,45,45,CHI,Matt Bonner,Florida,12,792,13356,4632,2371,552,.464,.414,.780,16.9,5.8,3.0,0.7,38.5,.138,1.0,10.1,2003
47,46,46,DEN,Sani Bečirovič,,,,,,,,,,,,,,,,,,,2003
48,47,47,UTA,Mo Williams,Alabama,13,818,23872,10759,2264,3990,.434,.378,.871,29.2,13.2,2.8,4.9,40.0,.080,-0.3,10.0,2003
49,48,48,NOH,James Lang,,1,11,55,11,11,2,.444,,.600,5.0,1.0,1.0,0.2,0.1,.047,-6.4,-0.1,2003
50,49,49,IND,James Jones,Miami (FL),14,709,11098,3717,1276,366,.401,.401,.840,15.7,5.2,1.8,0.5,25.2,.109,-0.1,5.4,2003
51,50,50,PHI,Paccelis Morlende,,,,,,,,,,,,,,,,,,,2003
52,51,51,NJN,Kyle Korver,Creighton,17,1232,31183,11953,3643,2114,.442,.429,.877,25.3,9.7,3.0,1.7,73.4,.113,0.6,20.7,2003
53,52,52,TOR,Remon van de Hare,,,,,,,,,,,,,,,,,,,2003
54,53,53,CHI,Tommy Smith,Arizona State,,,,,,,,,,,,,,,,,,2003
55,54,54,POR,Nedžad Sinanović,,,,,,,,,,,,,,,,,,,2003
56,55,55,MIN,Rick Rickert,Minnesota,,,,,,,,,,,,,,,,,,2003
57,56,56,BOS,Brandon Hunter,Ohio University,2,67,630,220,187,22,.476,.000,.488,9.4,3.3,2.8,0.3,0.7,.055,-3.7,-0.3,2003
58,57,57,DAL,Xue Yuyang,,,,,,,,,,,,,,,,,,,2003
59,58,58,DET,Andreas Glyniadakis,,1,13,81,17,8,1,.471,,.500,6.2,1.3,0.6,0.1,-0.2,-.143,-14.0,-0.2,2003
0,1,1,ORL,Dwight Howard,,18,1242,39457,19485,14627,1676,.587,.214,.567,31.8,15.7,11.8,1.3,141.7,.172,1.9,39.0,2004
1,2,2,CHA,Emeka Okafor,UConn,10,616,19055,7370,5967,520,.512,.000,.586,30.9,12.0,9.7,0.8,45.3,.114,-0.6,6.8,2004
2,3,3,CHI,Ben Gordon,UConn,11,744,20366,11084,1851,1868,.432,.401,.857,27.4,14.9,2.5,2.5,33.3,.078,-0.3,8.7,2004
3,4,4,LAC,Shaun Livingston,,14,833,17188,5231,1989,2483,.486,.178,.794,20.6,6.3,2.4,3.0,29.9,.084,-1.0,4.3,2004
4,5,5,WAS,Devin Harris,Wisconsin,15,985,23963,10597,2151,3869,.432,.325,.796,24.3,10.8,2.2,3.9,54.9,.110,0.6,15.5,2004
5,6,6,ATL,Josh Childress,Stanford,8,391,10432,3548,1850,609,.522,.329,.779,26.7,9.1,4.7,1.6,25.7,.118,0.8,7.4,2004
6,7,7,PHO,Luol Deng,Duke,15,902,30941,13361,5468,2042,.456,.332,.769,34.3,14.8,6.1,2.3,74.0,.115,0.9,22.9,2004
7,8,8,TOR,Rafael Araújo,BYU,3,139,1585,389,395,41,.405,.250,.679,11.4,2.8,2.8,0.3,-0.4,-.013,-7.2,-2.1,2004
8,9,9,PHI,Andre Iguodala,Arizona,19,1231,39507,13968,6047,5147,.463,.330,.709,32.1,11.3,4.9,4.2,100.4,.122,2.1,41.3,2004
9,10,10,CLE,Luke Jackson,Oregon,4,73,724,252,89,58,.357,.360,.732,9.9,3.5,1.2,0.8,0.2,.010,-3.7,-0.3,2004
10,11,11,GSW,Andris Biedriņš,,10,516,11146,3247,3631,467,.594,.000,.500,21.6,6.3,7.0,0.9,30.7,.132,-0.4,4.6,2004
11,12,12,SEA,Robert Swift,,4,97,1500,416,376,20,.506,,.610,15.5,4.3,3.9,0.2,1.7,.054,-3.8,-0.7,2004
12,13,13,POR,Sebastian Telfair,,10,564,12149,4183,898,1960,.390,.319,.777,21.5,7.4,1.6,3.5,5.0,.020,-3.4,-4.2,2004
13,14,14,UTA,Kris Humphries,Minnesota,13,800,14232,5350,4314,556,.463,.293,.700,17.8,6.7,5.4,0.7,30.3,.102,-1.7,1.2,2004
14,15,15,BOS,Al Jefferson,,14,915,26299,14343,7690,1347,.499,.121,.711,28.7,15.7,8.4,1.5,71.0,.130,1.2,21.3,2004
15,16,16,UTA,Kirk Snyder,Nevada,4,211,3540,1333,491,241,.438,.327,.699,16.8,6.3,2.3,1.1,4.5,.061,-1.2,0.7,2004
16,17,17,ATL,Josh Smith,,13,894,29000,12996,6653,2789,.452,.285,.632,32.4,14.5,7.4,3.1,51.0,.084,1.7,27.2,2004
17,18,18,NOH,J.R. Smith,,16,977,26275,12148,3073,2077,.419,.373,.733,26.9,12.4,3.1,2.1,46.3,.084,0.2,14.7,2004
18,19,19,MIA,Dorell Wright,,11,549,12280,4597,2093,850,.424,.365,.806,22.4,8.4,3.8,1.5,25.9,.101,0.9,9.1,2004
19,20,20,DEN,Jameer Nelson,Saint Joseph's,14,878,24539,9940,2595,4508,.436,.368,.810,27.9,11.3,3.0,5.1,48.3,.094,-0.1,11.6,2004
20,21,21,UTA,Pavel Podkolzin,,2,6,28,4,9,0,.000,,.500,4.7,0.7,1.5,0.0,-0.1,-.163,-15.0,-0.1,2004
21,22,22,NJN,Viktor Khryapa,,4,143,2351,643,492,142,.443,.292,.658,16.4,4.5,3.4,1.0,2.0,.041,-3.5,-0.9,2004
22,23,23,POR,Sergei Monia,,1,26,343,77,52,19,.333,.265,.714,13.2,3.0,2.0,0.7,-0.2,-.025,-5.3,-0.3,2004
23,24,24,BOS,Delonte West,Saint Joseph's,8,432,11842,4198,1265,1540,.448,.372,.826,27.4,9.7,2.9,3.6,24.5,.099,0.9,8.7,2004
24,25,25,BOS,Tony Allen,Oklahoma State,14,820,18055,6654,2884,1077,.475,.282,.709,22.0,8.1,3.5,1.3,38.7,.103,0.3,10.4,2004
25,26,26,SAC,Kevin Martin,Western Carolina University,12,714,21559,12396,2278,1352,.437,.384,.870,30.2,17.4,3.2,1.9,61.3,.137,1.0,16.1,2004
26,27,27,LAL,Sasha Vujačić,,10,581,8908,3094,1093,748,.390,.367,.858,15.3,5.3,1.9,1.3,16.0,.086,-1.0,2.3,2004
27,28,28,SAS,Beno Udrih,,13,831,18185,6952,1712,2858,.463,.349,.833,21.9,8.4,2.1,3.4,31.4,.083,-0.9,4.9,2004
28,29,29,IND,David Harrison,Colorado,4,189,2686,949,549,47,.530,,.525,14.2,5.0,2.9,0.2,3.2,.057,-4.4,-1.7,2004
29,,,,,,Minnesota Timberwolves forfeited their First Round pick.,Minnesota Timberwolves forfeited their First Round pick.,Minnesota Timberwolves forfeited their First Round pick.,Minnesota Timberwolves forfeited their First Round pick.,Minnesota Timberwolves forfeited their First Round pick.,Minnesota Timberwolves forfeited their First Round pick.,Minnesota Timberwolves forfeited their First Round pick.,Minnesota Timberwolves forfeited their First Round pick.,Minnesota Timberwolves forfeited their First Round pick.,Minnesota Timberwolves forfeited their First Round pick.,Minnesota Timberwolves forfeited their First Round pick.,Minnesota Timberwolves forfeited their First Round pick.,Minnesota Timberwolves forfeited their First Round pick.,Minnesota Timberwolves forfeited their First Round pick.,Minnesota Timberwolves forfeited their First Round pick.,Minnesota Timberwolves forfeited their First Round pick.,Minnesota Timberwolves forfeited their First Round pick.,2004
30,,,,Round 2,Round 2,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced,2004
31,Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP,2004
32,31,30,ORL,Anderson Varejão,,14,632,15087,4574,4531,737,.509,.023,.630,23.9,7.2,7.2,1.2,46.4,.148,0.3,8.8,2004
33,32,31,CHI,Jackson Vroman,Iowa State,2,87,1111,285,261,51,.408,.000,.580,12.8,3.3,3.0,0.6,0.0,.001,-5.1,-0.9,2004
34,33,32,WAS,Peter John Ramos,,1,6,20,11,4,0,.500,,.500,3.3,1.8,0.7,0.0,0.0,-.108,-10.0,0.0,2004
35,34,33,LAC,Lionel Chalmers,Xavier,1,36,433,111,31,51,.336,.245,.625,12.0,3.1,0.9,1.4,-0.2,-.025,-5.3,-0.4,2004
36,35,34,ATL,Donta Smith,Southeastern Illinois College,2,61,560,165,66,48,.421,.308,.650,9.2,2.7,1.1,0.8,0.5,.043,-3.2,-0.2,2004
37,36,35,SEA,Andre Emmett,Texas Tech,2,14,73,20,8,1,.462,.000,.615,5.2,1.4,0.6,0.1,0.1,.040,-5.5,-0.1,2004
38,37,36,ORL,Antonio Burks,Memphis,2,81,789,186,49,104,.387,.235,.571,9.7,2.3,0.6,1.3,0.1,.004,-5.0,-0.6,2004
39,38,37,ATL,Royal Ivey,Texas,10,492,6162,1641,557,501,.406,.361,.706,12.5,3.3,1.1,1.0,4.5,.035,-3.8,-2.7,2004
40,39,38,CHI,Chris Duhon,Duke,9,606,15526,3946,1364,2690,.393,.363,.784,25.6,6.5,2.3,4.4,25.0,.077,-1.2,3.2,2004
41,40,39,TOR,Albert Miralles,,,,,,,,,,,,,,,,,,,2004
42,41,40,BOS,Justin Reed,Ole Miss,3,136,1436,472,186,68,.404,.000,.752,10.6,3.5,1.4,0.5,0.5,.016,-5.9,-1.4,2004
43,42,41,SEA,David Young,NC Central,,,,,,,,,,,,,,,,,,2004
44,43,42,ATL,Viktor Sanikidze,,,,,,,,,,,,,,,,,,,2004
45,44,43,NYK,Trevor Ariza,UCLA,18,1118,32953,11593,5356,2379,.422,.351,.731,29.5,10.4,4.8,2.1,64.3,.094,0.6,21.8,2004
46,45,44,NOH,Tim Pickett,Florida State,,,,,,,,,,,,,,,,,,2004
47,46,45,CHA,Bernard Robinson,Michigan,3,128,1909,576,315,126,.417,.161,.786,14.9,4.5,2.5,1.0,2.0,.049,-2.0,0.0,2004
48,47,46,POR,Ha Seung-Jin,,2,46,316,70,67,3,.519,,.500,6.9,1.5,1.5,0.1,-0.2,-.029,-8.8,-0.5,2004
49,48,47,MIA,Pape Sow,Cal State Fullerton,3,76,879,219,214,12,.416,,.678,11.6,2.9,2.8,0.2,0.8,.044,-5.7,-0.8,2004
50,49,48,SAC,Ricky Minard,Morehead State University,,,,,,,,,,,,,,,,,,2004
51,50,49,MEM,Sergei Lishouk,,,,,,,,,,,,,,,,,,,2004
52,51,50,DAL,Vassilis Spanoulis,,1,31,272,85,22,28,.319,.172,.810,8.8,2.7,0.7,0.9,-0.1,-.010,-5.9,-0.3,2004
53,52,51,NJN,Christian Drejer,Florida,,,,,,,,,,,,,,,,,,2004
54,53,52,SAS,Romain Sato,Xavier,,,,,,,,,,,,,,,,,,2004
55,54,53,MIA,Matt Freije,Vanderbilt,2,42,588,133,85,27,.293,.224,.714,14.0,3.2,2.0,0.6,-0.6,-.047,-6.0,-0.6,2004
56,55,54,DET,Rickey Paulding,Missouri,,,,,,,,,,,,,,,,,,2004
57,56,55,HOU,Luis Flores,Manhattan College,1,16,77,35,3,11,.483,.500,1.000,4.8,2.2,0.2,0.7,0.0,-.020,-4.8,0.0,2004
58,57,56,LAL,Marcus Douthit,Providence,,,,,,,,,,,,,,,,,,2004
59,58,57,SAS,Sergei Karaulov,,,,,,,,,,,,,,,,,,,2004
60,59,58,MIN,Blake Stepp,Gonzaga,,,,,,,,,,,,,,,,,,2004
61,60,59,IND,Rashad Wright,Georgia,,,,,,,,,,,,,,,,,,2004
0,1,1,MIL,Andrew Bogut,Utah,14,706,19862,6808,6112,1546,.535,.120,.557,28.1,9.6,8.7,2.2,50.6,.122,1.2,16.0,2005
1,2,2,ATL,Marvin Williams,UNC,15,1072,30159,10965,5546,1373,.443,.361,.808,28.1,10.2,5.2,1.3,65.1,.104,-0.4,12.3,2005
2,3,3,UTA,Deron Williams,Illinois,12,845,28865,13804,2619,6819,.445,.357,.822,34.2,16.3,3.1,8.1,77.3,.129,1.9,28.3,2005
3,4,4,NOH,Chris Paul,Wake Forest,18,1214,41785,21755,5457,11501,.472,.369,.870,34.4,17.9,4.5,9.5,205.1,.236,7.1,96.2,2005
4,5,5,CHA,Raymond Felton,UNC,14,971,28829,10853,2867,5096,.412,.329,.790,29.7,11.2,3.0,5.2,40.2,.067,-0.6,10.1,2005
5,6,6,POR,Martell Webster,,10,580,13914,5056,1811,588,.418,.382,.791,24.0,8.7,3.1,1.0,24.7,.085,-0.8,4.3,2005
6,7,7,TOR,Charlie Villanueva,UConn,11,656,13578,6808,3019,549,.435,.341,.772,20.7,10.4,4.6,0.8,22.6,.080,-0.6,4.7,2005
7,8,8,NYK,Channing Frye,Arizona,13,890,19772,7786,4002,864,.440,.388,.822,22.2,8.7,4.5,1.0,38.9,.094,-0.4,8.0,2005
8,9,9,GSW,Ike Diogu,Arizona State,6,225,2795,1348,689,69,.509,.500,.786,12.4,6.0,3.1,0.3,6.5,.112,-3.0,-0.7,2005
9,10,10,LAL,Andrew Bynum,,8,418,10690,4822,3221,490,.556,.111,.690,25.6,11.5,7.7,1.2,37.4,.168,1.4,9.1,2005
10,11,11,ORL,Fran Vázquez,,,,,,,,,,,,,,,,,,,2005
11,12,12,LAC,Yaroslav Korolev,,2,34,168,39,16,13,.283,.250,.625,4.9,1.1,0.5,0.4,-0.1,-.024,-5.2,-0.1,2005
12,13,13,CHA,Sean May,UNC,4,119,1868,821,481,115,.458,.231,.746,15.7,6.9,4.0,1.0,2.6,.068,-1.7,0.2,2005
13,14,14,MIN,Rashad McCants,UNC,4,249,5037,2479,506,331,.431,.368,.741,20.2,10.0,2.0,1.3,3.6,.035,-1.7,0.4,2005
14,15,15,NJN,Antoine Wright,Texas A&M,6,297,5714,1614,681,295,.412,.304,.674,19.2,5.4,2.3,1.0,3.1,.026,-3.7,-2.4,2005
15,16,16,TOR,Joey Graham,Oklahoma State,6,377,6117,2239,1058,207,.483,.300,.815,16.2,5.9,2.8,0.5,7.8,.061,-3.6,-2.4,2005
16,17,17,IND,Danny Granger,New Mexico,10,586,18487,9855,2888,1097,.434,.380,.848,31.5,16.8,4.9,1.9,48.5,.126,1.8,17.7,2005
17,18,18,BOS,Gerald Green,,12,658,13026,6412,1639,596,.417,.361,.818,19.8,9.7,2.5,0.9,18.4,.068,-1.3,2.4,2005
18,19,19,MEM,Hakim Warrick,Syracuse,8,526,10624,4947,2117,400,.490,.191,.726,20.2,9.4,4.0,0.8,20.4,.092,-1.9,0.4,2005
19,20,20,DEN,Julius Hodge,NC State,2,23,98,28,15,18,.440,,.500,4.3,1.2,0.7,0.8,0.0,.003,-3.7,0.0,2005
20,21,21,PHO,Nate Robinson,Washington,11,618,13878,6807,1446,1826,.423,.360,.796,22.5,11.0,2.3,3.0,27.8,.096,0.5,8.6,2005
21,22,22,DEN,Jarrett Jack,Georgia Tech,13,867,24140,9349,2487,3952,.440,.343,.855,27.8,10.8,2.9,4.6,36.8,.073,-0.9,6.5,2005
22,23,23,SAC,Francisco García,Louisville,10,549,11853,4323,1400,747,.427,.357,.799,21.6,7.9,2.6,1.4,18.2,.074,-0.1,5.7,2005
23,24,24,HOU,Luther Head,Illinois,6,348,7797,2842,845,747,.423,.388,.773,22.4,8.2,2.4,2.1,14.7,.090,0.1,4.2,2005
24,25,25,SEA,Johan Petro,,8,473,7262,2202,1836,227,.462,.154,.678,15.4,4.7,3.9,0.5,5.5,.037,-4.6,-4.6,2005
25,26,26,DET,Jason Maxiell,Cincinnati,10,618,11379,3481,2576,266,.495,.000,.564,18.4,5.6,4.2,0.4,20.3,.086,-2.5,-1.4,2005
26,27,27,POR,Linas Kleiza,Missouri,7,409,8185,3561,1470,321,.435,.335,.763,20.0,8.7,3.6,0.8,13.6,.080,-2.3,-0.7,2005
27,28,28,SAS,Ian Mahinmi,,12,618,10353,3209,2705,357,.533,.160,.612,16.8,5.2,4.4,0.6,26.1,.121,-2.0,0.1,2005
28,29,29,MIA,Wayne Simien,Kansas,2,51,507,169,99,11,.469,,.854,9.9,3.3,1.9,0.2,0.9,.083,-4.4,-0.3,2005
29,30,30,NYK,David Lee,Florida,12,829,24293,11232,7320,1825,.535,.034,.772,29.3,13.5,8.8,2.2,76.0,.150,1.1,19.2,2005
30,,,,Round 2,Round 2,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced,2005
31,Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP,2005
32,31,31,ATL,Salim Stoudamire,Arizona,3,157,2672,1260,214,164,.407,.366,.882,17.0,8.0,1.4,1.0,2.2,.040,-2.9,-0.6,2005
33,32,32,LAC,Daniel Ewing,Duke,2,127,1683,431,158,174,.389,.295,.780,13.3,3.4,1.2,1.4,0.8,.024,-3.0,-0.4,2005
34,33,33,NOH,Brandon Bass,LSU,12,758,16410,6575,3448,608,.499,.207,.832,21.6,8.7,4.5,0.8,42.8,.125,-0.8,5.1,2005
35,34,34,UTA,C.J. Miles,,16,849,17284,8108,2011,914,.411,.358,.809,20.4,9.6,2.4,1.1,30.1,.084,-0.4,6.9,2005
36,35,35,POR,Ricky Sánchez,,,,,,,,,,,,,,,,,,,2005
37,36,36,MIL,Ersan İlyasova,,13,825,18957,8364,4661,908,.443,.367,.777,23.0,10.1,5.6,1.1,48.8,.124,-0.1,9.0,2005
38,37,37,LAL,Ronny Turiaf,Gonzaga,10,473,8020,2209,1757,618,.533,.000,.636,17.0,4.7,3.7,1.3,19.2,.115,0.3,4.7,2005
39,38,38,ORL,Travis Diener,Marquette,5,179,2660,854,243,432,.388,.353,.847,14.9,4.8,1.4,2.4,5.6,.102,-0.4,1.1,2005
40,39,39,LAL,Von Wafer,Florida State,6,200,2475,1054,234,146,.420,.325,.751,12.4,5.3,1.2,0.7,3.3,.064,-1.8,0.1,2005
41,40,40,GSW,Monta Ellis,,12,833,29011,14858,2874,3856,.451,.314,.772,34.8,17.8,3.5,4.6,41.9,.069,-0.3,12.4,2005
42,41,41,TOR,Roko Ukić,,2,85,987,341,78,165,.387,.189,.746,11.6,4.0,0.9,1.9,-0.2,-.007,-4.3,-0.6,2005
43,42,42,GSW,Chris Taft,Pitt,1,17,144,47,36,2,.605,,.167,8.5,2.8,2.1,0.1,0.5,.155,-0.7,0.0,2005
44,43,43,NJN,Mile Ilić,,1,5,6,0,1,0,.000,,,1.2,0.0,0.2,0.0,-0.2,-1.264,-52.0,-0.1,2005
45,44,44,ORL,Martynas Andriuškevičius,,1,6,9,0,4,0,.000,,,1.5,0.0,0.7,0.0,0.0,.155,5.2,0.0,2005
46,45,45,PHI,Lou Williams,,17,1123,27104,15593,2484,3789,.419,.351,.842,24.1,13.9,2.2,3.4,65.7,.116,1.4,23.2,2005
47,46,46,IND,Erazem Lorbek,,,,,,,,,,,,,,,,,,,2005
48,47,47,MIN,Bracey Wright,Indiana,2,26,325,129,39,20,.405,.324,.794,12.5,5.0,1.5,0.8,0.5,.068,-1.6,0.0,2005
49,48,48,SEA,Mickaël Gelabale,,3,145,2348,670,330,115,.470,.316,.815,16.2,4.6,2.3,0.8,3.0,.062,-2.1,0.0,2005
50,49,49,WAS,Andray Blatche,,9,564,12462,5706,3024,798,.467,.237,.725,22.1,10.1,5.4,1.4,19.2,.074,-0.8,3.8,2005
