,Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP.1,PTS.1,TRB.1,AST.1,WS,WS/48,BPM,VORP,Year
4,5,5,DET,Jaden Ivey,Purdue,1,74,2304,1204,288,387,.416,.343,.747,31.1,16.3,3.9,5.2,0.0,-.001,-3.3,-0.7,2022
5,6,6,IND,Bennedict Mathurin,Arizona,1,78,2222,1302,318,116,.434,.323,.828,28.5,16.7,4.1,1.5,1.8,.038,-3.7,-1.0,2022
6,7,7,POR,Shaedon Sharpe,Kentucky,1,80,1779,789,236,94,.472,.360,.714,22.2,9.9,3.0,1.2,1.2,.032,-3.3,-0.6,2022
7,8,8,NOP,Dyson Daniels,,1,59,1042,227,188,134,.418,.314,.650,17.7,3.8,3.2,2.3,1.3,.061,-1.8,0.0,2022
8,9,9,SAS,Jeremy Sochan,Baylor,1,56,1458,614,295,142,.453,.246,.698,26.0,11.0,5.3,2.5,0.2,.005,-4.0,-0.7,2022
9,10,10,WAS,Johnny Davis,Wisconsin,1,28,423,163,65,28,.386,.243,.519,15.1,5.8,2.3,1.0,-0.3,-.033,-7.4,-0.6,2022
10,11,11,NYK,Ousmane Dieng,,1,39,569,193,105,46,.420,.265,.652,14.6,4.9,2.7,1.2,0.4,.038,-3.6,-0.2,2022
11,12,12,OKC,Jalen Williams,Santa Clara,1,75,2276,1056,337,248,.521,.356,.812,30.3,14.1,4.5,3.3,5.6,.119,0.3,1.3,2022
12,13,13,CHO,Jalen Duren,Memphis,1,67,1670,612,595,75,.648,.000,.611,24.9,9.1,8.9,1.1,4.5,.129,-0.8,0.5,2022
13,14,14,CLE,Ochai Agbaji,Kansas,1,59,1209,467,121,67,.427,.355,.812,20.5,7.9,2.1,1.1,1.3,.053,-3.0,-0.3,2022
14,15,15,CHO,Mark Williams,Duke,1,43,828,387,304,18,.637,,.691,19.3,9.0,7.1,0.4,2.8,.163,0.1,0.4,2022
15,16,16,ATL,AJ Griffin,Duke,1,72,1401,639,153,73,.465,.390,.894,19.5,8.9,2.1,1.0,2.2,.075,-0.8,0.4,2022
16,17,17,HOU,Tari Eason,LSU,1,82,1767,760,496,88,.448,.343,.752,21.5,9.3,6.0,1.1,2.6,.070,-1.7,0.1,2022
17,18,18,CHI,Dalen Terry,Arizona,1,38,214,85,37,22,.444,.259,.667,5.6,2.2,1.0,0.6,0.5,.105,0.0,0.1,2022
18,19,19,MIN,Jake LaRavia,Wake Forest,1,35,414,105,63,21,.389,.338,.778,11.8,3.0,1.8,0.6,0.5,.054,-3.5,-0.2,2022
19,20,20,SAS,Malaki Branham,Ohio State,1,66,1550,673,181,127,.440,.302,.829,23.5,10.2,2.7,1.9,-0.1,-.004,-5.2,-1.2,2022
20,21,21,DEN,Christian Braun,Kansas,1,76,1181,360,181,59,.495,.354,.625,15.5,4.7,2.4,0.8,1.9,.079,-2.4,-0.1,2022
21,22,22,MEM,Walker Kessler,Auburn,1,74,1703,679,620,69,.720,.333,.516,23.0,9.2,8.4,0.9,7.1,.200,2.9,2.1,2022
22,23,23,PHI,David Roddy,Colorado State,1,70,1258,466,193,59,.429,.307,.631,18.0,6.7,2.8,0.8,1.1,.043,-3.9,-0.6,2022
23,24,24,MIL,MarJon Beauchamp,,1,52,701,266,115,35,.395,.331,.730,13.5,5.1,2.2,0.7,0.4,.027,-4.8,-0.5,2022
24,25,25,SAS,Blake Wesley,Notre Dame,1,37,669,184,81,99,.321,.385,.591,18.1,5.0,2.2,2.7,-1.6,-.114,-9.6,-1.3,2022
25,26,26,DAL,Wendell Moore Jr.,Duke,1,29,153,42,18,18,.419,.118,.800,5.3,1.4,0.6,0.6,0.1,.028,-2.4,0.0,2022
26,27,27,MIA,Nikola Jović,,1,15,204,82,31,10,.406,.229,.947,13.6,5.5,2.1,0.7,0.2,.053,-3.4,-0.1,2022
27,28,28,GSW,Patrick Baldwin Jr.,UW-Milwaukee,1,31,226,122,40,11,.394,.381,.667,7.3,3.9,1.3,0.4,0.1,.029,-2.1,0.0,2022
28,29,29,MEM,TyTy Washington Jr.,Kentucky,1,31,433,145,45,47,.363,.238,.556,14.0,4.7,1.5,1.5,-0.1,-.016,-6.3,-0.5,2022
29,30,30,OKC,Peyton Watson,UCLA,1,23,186,75,37,11,.492,.429,.550,8.1,3.3,1.6,0.5,0.3,.073,-2.8,0.0,2022
30,,,,Round 2,Round 2,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced,2022
31,Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP,2022
32,31,31,IND,Andrew Nembhard,Gonzaga,1,75,2073,709,199,341,.441,.350,.790,27.6,9.5,2.7,4.5,1.2,.029,-3.2,-0.6,2022
33,32,32,ORL,Caleb Houstan,Michigan,1,51,812,193,99,30,.363,.338,.833,15.9,3.8,1.9,0.6,0.7,.039,-4.0,-0.4,2022
34,33,33,TOR,Christian Koloko,Arizona,1,58,802,182,171,31,.480,.083,.627,13.8,3.1,2.9,0.5,1.7,.104,-3.5,-0.3,2022
